filename,score_N,score_L,score_M,score_H,prob_N,prob_L,prob_M,prob_H,predict class,actual class
CF02_English_N_0062.npy,7.979982,-3.554445,-3.6268785,-5.3496413,0.9999795,9.7870825e-06,9.103235e-06,1.6255835e-06,N,N
CM30_Gujarati_N_0045.npy,8.300542,-3.831749,-4.078023,-5.307978,0.9999893,5.3828016e-06,4.2077795e-06,1.2299572e-06,N,N
CF09_Hindi_N_0018.npy,8.402072,-4.08101,-4.343829,-3.9823008,0.99998915,3.7901966e-06,2.9142095e-06,4.183411e-06,N,N
CF09_Hindi_N_0013.npy,7.814204,-4.8259106,-4.2256947,-2.1288345,0.9999428,3.2392397e-06,5.9035533e-06,4.8058282e-05,N,N
CF09_Hindi_N_0005.npy,8.522109,-3.8748603,-4.0555077,-5.089317,0.9999912,4.1310554e-06,3.4483126e-06,1.2263918e-06,N,N
CM03_English_N_0069.npy,3.1381283,-2.211683,-1.58192,-1.6889566,0.97878623,0.0046483004,0.008725632,0.007839917,N,N
CF04_Hindi_N_0138.npy,7.7705607,-4.1668534,-4.065435,-3.3192737,0.9999709,6.5408512e-06,7.2390194e-06,1.5266292e-05,N,N
CM16_Hindi_N_0043.npy,6.5129004,-3.7015026,-2.7622313,-4.1807985,0.99984694,3.6633177e-05,9.3712006e-05,2.2683973e-05,N,N
CM30_Gujarati_N_0012.npy,6.961843,-2.84654,-3.6327052,-4.8651867,0.9999126,5.4983888e-05,2.505003e-05,7.3037877e-06,N,N
CF14_Gujarati_N_0029.npy,7.6710176,-3.406513,-3.8482237,-4.544386,0.9999697,1.545526e-05,9.93674e-06,4.9534124e-06,N,N
CF04_English_N_0045.npy,8.011697,-4.296905,-3.1472692,-4.694794,0.9999782,4.512663e-06,1.42466615e-05,3.0313174e-06,N,N
CM30_Gujarati_N_0040.npy,7.999926,-3.5657694,-3.9467359,-5.311119,0.9999825,9.485812e-06,6.480717e-06,1.6560717e-06,N,N
CM38_English_N_0029.npy,8.170844,-3.4010456,-3.9896984,-5.21629,0.9999838,9.42725e-06,5.232828e-06,1.5347382e-06,N,N
CF09_Hindi_N_0152.npy,7.0801773,-3.4982095,-3.7716026,-3.177061,0.9999201,2.5458367e-05,1.9368554e-05,3.5099692e-05,N,N
CM16_Hindi_N_0080.npy,6.3946815,-3.197806,-2.479125,-5.4616075,0.99978477,6.8224785e-05,0.00013997857,7.0922765e-06,N,N
CF04_Hindi_N_0082.npy,8.2479315,-4.6572695,-4.09235,-2.8823035,0.9999784,2.485038e-06,4.3719433e-06,1.4661929e-05,N,N
CF14_Hindi_N_0039.npy,7.197243,-3.8536758,-3.9406812,-2.3923492,0.9999012,1.5870995e-05,1.4548495e-05,6.843058e-05,N,N
