filename,score_N,score_L,score_M,score_H,prob_N,prob_L,prob_M,prob_H,predict class,actual class
CM27_Gujarati_N_0011.npy,24.052917,-1.4610727,-6.7840834,-42.32677,1.0,8.306436e-12,4.0519146e-14,1.4848047e-29,N,N
CM35_English_N_0022.npy,32.946205,-12.823582,-7.841996,-52.483746,1.0,1.3256661e-20,1.9315664e-18,7.9112564e-38,N,N
CF04_English_N_0095.npy,41.390793,-31.679148,-7.34186,-56.807354,1.0,1.8455629e-32,6.849813e-22,2.26e-43,N,N
CM35_English_N_0124.npy,25.186026,-11.48896,-7.7758102,-36.21885,1.0,1.1810143e-16,4.8401157e-15,2.1488242e-27,N,N
CF09_Hindi_N_0169.npy,28.586273,-17.345211,-4.129201,-41.612835,1.0,1.1277423e-20,6.1922793e-15,3.2577147e-31,N,N
CF18_English_N_0011.npy,34.736095,-26.950478,-3.0350573,-47.378937,1.0,1.6212939e-27,3.946362e-17,2.1771732e-36,N,N
CF14_English_N_0027.npy,14.967932,-9.743856,-5.249934,-19.346632,1.0,1.852707e-11,1.6576499e-09,1.2513371e-15,N,N
CF09_Hindi_N_0071.npy,19.563747,-12.043591,-7.4702196,-27.468006,1.0,1.8754588e-14,1.8167606e-12,3.752917e-21,N,N
CF09_Hindi_N_0087.npy,29.14735,-23.837894,-9.398167,-37.2373,1.0,9.74542e-24,1.8192595e-17,1.4774483e-29,N,N
CF14_Hindi_N_0063.npy,19.084488,-14.856737,-0.88995576,-25.497587,1.0,1.817666e-15,2.1145086e-09,4.3476038e-20,N,N
CF02_English_N_0039.npy,31.946608,-5.619663,0.11176176,-61.927402,1.0,4.843694e-17,1.4938324e-14,1.7023e-41,N,N
CM05_English_N_0017.npy,35.259995,-15.305629,-9.464883,-53.461857,1.0,1.0955404e-22,3.769059e-20,2.94165e-39,N,N
CF09_Hindi_N_0106.npy,42.60408,-23.051659,-9.162534,-64.1395,1.0,3.062492e-29,3.2964434e-23,0.0,N,N
CM05_English_N_0040.npy,22.192333,-8.790692,-3.0019493,-34.003292,1.0,3.5014133e-14,1.1435683e-11,3.9314254e-25,N,N
CF02_English_N_0003.npy,18.186918,-11.506579,-0.45440632,-27.29122,1.0,1.2713883e-13,8.020019e-09,1.7745803e-20,N,N
CM05_English_N_0058.npy,30.517265,-5.5032353,-7.758522,-53.274673,1.0,2.2724563e-16,2.3825212e-17,4.0702716e-37,N,N
CF09_Hindi_N_0146.npy,15.449793,-11.663179,-3.6711814,-19.30105,1.0,1.6787489e-12,4.964399e-09,8.089108e-16,N,N
CM24_Gujarati_N_0071.npy,-2.7964275,-0.28842163,-1.4143028,3.3073637,0.0021513929,0.026420003,0.008569766,0.9628588,H,N
CF18_English_N_0056.npy,24.077267,-19.035366,-3.6151643,-32.542492,1.0,1.8898245e-19,9.404382e-13,2.5724757e-25,N,N
CF04_English_N_0106.npy,36.350597,-23.092499,-1.6750393,-54.37306,1.0,1.5282393e-26,3.0596845e-17,3.9739e-40,N,N
CF09_English_N_0055.npy,28.916601,-28.636265,-7.4202538,-32.210583,1.0,1.0118327e-25,1.6561712e-16,2.8366263e-27,N,N
