filename,score_N,score_L,score_M,score_H,prob_N,prob_L,prob_M,prob_H,predict class,actual class
M22_Hindi_H_0019.npy,-3.0555542,0.19485813,3.5934455,-1.6594028,0.0012455592,0.032136638,0.96158624,0.0050315876,M,H
M22_Hindi_H_0049.npy,-2.5893786,3.5005744,0.9883749,-2.8321981,0.0020877782,0.92154664,0.07472793,0.0016376809,L,H
M22_Hindi_H_0047.npy,-3.0626929,0.3491327,3.863028,-2.706098,0.00095158594,0.028852614,0.9688365,0.0013593,M,H
M22_Hindi_H_0042.npy,-4.1575527,1.8937032,3.5942726,-2.9818878,0.00036301586,0.15415326,0.8443074,0.0011762792,M,H
M22_Hindi_H_0017.npy,-3.8970284,0.7789426,2.1767955,1.3479903,0.0013655708,0.14657591,0.5931198,0.25893867,M,H
M22_Hindi_H_0022.npy,-3.599683,0.36475548,3.6693256,-0.97054034,0.00066547794,0.035064477,0.9550453,0.009224776,M,H
M22_Hindi_H_0041.npy,-2.6128657,2.0236807,1.1590494,-1.3509071,0.0066145053,0.6825332,0.28748766,0.02336463,L,H
M22_Hindi_H_0052.npy,-3.6913939,-0.4270548,3.458607,-0.25585693,0.00075057184,0.019637063,0.9563086,0.023303809,M,H
M22_Hindi_H_0020.npy,-3.5953443,-0.8754358,5.032928,-1.7722193,0.00017825994,0.0027057948,0.99601233,0.0011036386,M,H
M22_Hindi_H_0023.npy,-3.3960152,2.321422,2.4113827,-2.0658753,0.001558462,0.47396654,0.5185815,0.005893438,M,H
M22_Hindi_H_0012.npy,-4.0441227,2.0313342,3.4916286,-2.837513,0.00043229372,0.1880686,0.8100543,0.0014447838,M,H
M22_Hindi_H_0009.npy,-3.5409422,0.861391,3.0176635,-1.021441,0.0012494515,0.102006644,0.88122267,0.015521186,M,H
M22_Hindi_H_0043.npy,-2.555783,1.0396653,2.898246,-3.380543,0.003682316,0.13415425,0.86054933,0.001614107,M,H
M22_Hindi_H_0025.npy,-3.797625,2.2208035,2.0684774,-0.71237993,0.0012711709,0.52236533,0.4485594,0.027804108,L,H
M22_Hindi_H_0037.npy,-3.8583486,1.4184673,3.606153,-3.1192138,0.0005144496,0.10070123,0.89770705,0.0010773208,M,H
M22_Hindi_H_0014.npy,-3.0639,1.3576251,1.4516765,-0.014646664,0.005082517,0.4229828,0.46469575,0.10723897,M,H
M22_Hindi_H_0040.npy,-4.4078355,3.045107,2.160293,-0.9584997,0.000404949,0.6985091,0.2883383,0.01274758,L,H
M22_Hindi_H_0004.npy,-3.5569103,-0.15903397,4.6894484,-2.3343349,0.0002598745,0.00777039,0.99108714,0.00088251394,M,H
M22_Hindi_H_0028.npy,-4.0457535,-0.27102786,5.3495245,-2.948104,8.2788196e-05,0.0036083683,0.99606067,0.00024812558,M,H
M22_Hindi_H_0031.npy,-3.6172366,0.5585724,4.02913,-2.4488244,0.00046246275,0.030102843,0.967947,0.0014876876,M,H
M22_Hindi_H_0029.npy,-3.1898823,0.090822265,3.7358937,-1.3504272,0.00095050555,0.025278224,0.96778965,0.0059816344,M,H
M22_Hindi_H_0034.npy,-3.605056,-1.0634311,5.7451906,-3.0622592,8.682758e-05,0.001102735,0.99866104,0.00014941406,M,H
M22_Hindi_H_0008.npy,-4.0265718,0.36532918,4.3911724,-1.8711075,0.00021658599,0.01749881,0.9804151,0.0018695467,M,H
M22_Hindi_H_0058.npy,-3.646152,-0.31314063,4.5415144,-2.270163,0.00027553522,0.0077212076,0.9909123,0.0010908406,M,H
M22_Hindi_H_0024.npy,-2.9728622,2.8935258,1.3044976,-2.0091224,0.0023329419,0.82346284,0.16808842,0.0061157686,L,H
M22_Hindi_H_0032.npy,-3.7708201,-0.24058934,4.3385334,-1.2899226,0.00029651477,0.010120603,0.9860389,0.003543942,M,H
M22_Hindi_H_0005.npy,-3.6088185,-0.2702046,4.502049,-2.291873,0.00029732013,0.008378494,0.9902146,0.0011096002,M,H
M22_Hindi_H_0013.npy,-4.0499797,1.6032003,2.3413632,0.6349957,0.0010089168,0.28774005,0.60197765,0.10927338,M,H
M22_Hindi_H_0054.npy,-3.8512113,-0.67838585,4.7004037,-1.2878672,0.00019182965,0.0045799026,0.9927384,0.0024897852,M,H
M22_Hindi_H_0055.npy,-2.9762688,-0.0051301233,3.4809809,-1.557467,0.0015106832,0.029479666,0.9627672,0.0062423944,M,H
M22_Hindi_H_0011.npy,-1.8648739,3.1413407,0.738787,-3.565045,0.0060962923,0.9104103,0.08237991,0.0011135018,L,H
M22_Hindi_H_0035.npy,-3.7428288,-0.58078164,4.885471,-2.1124153,0.00017802166,0.004204676,0.9947083,0.000908976,M,H
M22_Hindi_H_0045.npy,-2.678471,1.1094173,2.5309644,-2.81963,0.0043663904,0.19283311,0.79900897,0.0037915607,M,H
M22_Hindi_H_0010.npy,-3.1402926,1.5208408,2.6910706,-2.1517742,0.002220909,0.23487419,0.7569368,0.0059681367,M,H
M22_Hindi_H_0036.npy,-3.4240048,3.8954763,1.2830557,-3.1562274,0.0006163505,0.9303319,0.06824613,0.0008056047,L,H
M22_Hindi_H_0007.npy,-3.35612,0.5964492,2.3285825,-0.032817975,0.002665592,0.13879465,0.7845646,0.073975086,M,H
M22_Hindi_H_0056.npy,-1.2471817,2.152437,0.25218073,-2.2531803,0.027935157,0.8367326,0.12511688,0.010215308,L,H
M22_Hindi_H_0051.npy,-3.526168,1.3851234,2.960003,-1.1589605,0.0012445723,0.1690312,0.8164477,0.013276554,M,H
M22_Hindi_H_0030.npy,-3.2257524,-0.33931044,4.117233,-2.112427,0.0006380431,0.01143973,0.98597974,0.0019425,M,H
M22_Hindi_H_0048.npy,-2.1841505,2.3708103,1.3651003,-3.9090424,0.007629601,0.72559804,0.26541275,0.0013595358,L,H
M22_Hindi_H_0039.npy,-3.9281201,0.2864263,4.1399164,-2.2124104,0.0003062734,0.020723535,0.97726715,0.0017030712,M,H
M22_Hindi_H_0027.npy,-3.2768335,1.790533,2.6075253,-1.9338137,0.0019121976,0.30357224,0.6871908,0.007324852,M,H
M22_Hindi_H_0033.npy,-3.7906065,-0.93072575,5.081091,-2.124291,0.00013983823,0.0024414982,0.9966786,0.00074011215,M,H
M22_Hindi_H_0046.npy,-1.0946254,1.7227465,1.1818691,-4.1622314,0.036334813,0.6079837,0.35399076,0.0016907469,L,H
M22_Hindi_H_0044.npy,-3.0264218,-0.32885873,4.3073883,-3.067788,0.00064599176,0.0095887855,0.9891454,0.00061981444,M,H
M22_Hindi_H_0015.npy,-3.2715402,1.974394,2.2786124,-1.6450856,0.002206747,0.41882527,0.5677449,0.011223102,M,H
M22_Hindi_H_0026.npy,-3.2784574,0.28286684,3.5131197,-1.1881307,0.0010699603,0.037673093,0.9526036,0.008653365,M,H
M22_Hindi_H_0050.npy,-1.2615428,-0.13916339,1.8561765,-2.0079403,0.036844607,0.11319235,0.83249605,0.017466974,M,H
M22_Hindi_H_0003.npy,-4.1814303,-0.10300848,4.7998548,-1.8498842,0.00012463868,0.007360189,0.9912321,0.0012830113,M,H
M22_Hindi_H_0038.npy,-3.9118347,0.04203139,4.4452324,-1.723854,0.00023136177,0.0120624015,0.98564315,0.0020630963,M,H
M22_Hindi_H_0016.npy,-2.9416149,0.33538127,3.111421,-1.3460089,0.0021842178,0.057873156,0.9291716,0.010771067,M,H
M22_Hindi_H_0059.npy,-1.9063221,1.1926597,0.68578905,0.22696076,0.02223416,0.49305055,0.2970026,0.18771273,L,H
M22_Hindi_H_0021.npy,-4.029059,0.18068227,3.9892795,-0.94399387,0.00031986332,0.021539303,0.9711458,0.006995054,M,H
M22_Hindi_H_0001.npy,-3.432029,1.2260045,1.6964711,0.6075224,0.0030121102,0.31756237,0.5083351,0.17109042,M,H
M22_Hindi_H_0053.npy,-3.964384,0.07114865,3.9933372,-0.5581961,0.00033952662,0.019208057,0.97021556,0.010236759,M,H
M22_Hindi_H_0018.npy,-3.0304282,-0.15257685,3.2984571,-0.9349851,0.0017023121,0.030260354,0.95419925,0.013838163,M,H
M22_Hindi_H_0006.npy,-4.1153893,-0.11880243,5.453827,-3.2954917,6.956586e-05,0.0037852237,0.99598724,0.00015793297,M,H
M22_Hindi_H_0002.npy,-2.5750492,4.596468,-0.57244676,-3.0412316,0.0007628614,0.993107,0.005651515,0.0004786139,L,H
M22_Hindi_H_0057.npy,-2.3555427,2.10697,1.7086549,-2.8318238,0.006823871,0.59166455,0.3972734,0.0042382297,L,H
F04_English_M_0006.npy,5.4910254,-2.0997689,-2.0516543,-6.8520465,0.9989617,0.0005045551,0.0005294252,4.3553273e-06,N,M
M30_English_M_0046.npy,-2.8649297,-1.570616,5.0565505,-2.153101,0.00036198657,0.0013207045,0.99757975,0.00073762523,M,M
M30_English_M_0005.npy,-2.0363498,-1.5828376,4.4148016,-3.3332415,0.0015716391,0.0024734929,0.9955252,0.00042965502,M,M
M04_English_M_0030.npy,-3.4593198,4.089175,0.34515134,-0.8460764,0.00051087403,0.96958005,0.022939017,0.006969973,L,M
M30_Hindi_M_0030.npy,-1.918837,-1.3287227,4.182483,-3.0430298,0.0022243185,0.004013105,0.99303985,0.00072271365,M,M
M30_Hindi_M_0092.npy,-3.5666375,-0.97336215,5.1128874,-2.0543149,0.00016948677,0.0022666333,0.9967949,0.0007690057,M,M
M30_Hindi_M_0048.npy,-3.4112468,-1.5187347,5.549717,-2.4127162,0.00012815226,0.00085042097,0.9986737,0.00034784272,M,M
M30_English_M_0062.npy,-3.719545,-1.4898187,6.078351,-3.1457105,5.5531178e-05,0.00051629095,0.9993297,9.857109e-05,M,M
F04_Hindi_M_0004.npy,-2.9329586,-1.5505338,5.6712394,-4.1955914,0.00018315758,0.0007298012,0.99903524,5.1816805e-05,M,M
F04_Hindi_M_0029.npy,-3.0073934,-1.9346901,6.079281,-3.555117,0.000113106245,0.00033063994,0.99949086,6.540534e-05,M,M
M30_Hindi_M_0017.npy,-3.5137072,-1.5114359,5.6069746,-2.4464872,0.00010924489,0.000809052,0.99876404,0.00031760606,M,M
M17_Hindi_M_0007.npy,-3.8253663,-1.1445171,6.0523386,-3.4336662,5.1261002e-05,0.0007482816,0.9991247,7.584031e-05,M,M
M04_English_M_0011.npy,-1.7026942,3.6440587,0.39532438,-3.8601484,0.004562226,0.9577281,0.037182182,0.00052748056,L,M
M04_English_M_0032.npy,-4.224051,2.928534,2.5745904,-1.9422945,0.00045770238,0.5846707,0.4103889,0.004482676,L,M
M04_English_M_0015.npy,-3.2878773,2.9116342,1.2152272,-1.4279556,0.0016942587,0.8344366,0.15298653,0.010882617,L,M
M17_English_M_0012.npy,-3.1958063,0.8121594,3.0681276,-0.9302248,0.0016921819,0.09312893,0.8888717,0.016307097,M,M
M30_English_M_0022.npy,-3.1696908,-2.002298,6.0412407,-3.6560192,9.989268e-05,0.0003210154,0.9995177,6.1422004e-05,M,M
M30_Hindi_M_0088.npy,-2.9402285,-1.5582727,4.9955373,-2.1397493,0.00035679777,0.0014210123,0.99742764,0.00079444883,M,M
M17_English_M_0114.npy,-4.1814756,-1.3403971,5.914495,-2.585793,4.1206233e-05,0.00070603675,0.9990495,0.00020321643,M,M
M17_English_M_0085.npy,-2.5391018,-0.100887045,3.114692,-1.6275913,0.0033298624,0.03813551,0.95024973,0.008284957,M,M
M17_English_M_0097.npy,-2.96426,-1.1052685,4.364546,-1.7266163,0.00065170944,0.0041821906,0.9929194,0.0022467559,M,M
M30_English_M_0072.npy,-3.3729432,-0.11047077,4.1025505,-2.3688433,0.0005573777,0.0145553695,0.98336595,0.0015213343,M,M
F04_English_M_0012.npy,-2.4643354,-1.3416127,4.13775,-1.9069942,0.0013468936,0.004139287,0.99216205,0.0023517082,M,M
F04_Hindi_M_0111.npy,-3.0220451,-1.0338688,5.069878,-2.9583058,0.00030512613,0.0022280926,0.99714154,0.00032520771,M,M
M17_Hindi_M_0004.npy,-3.538499,-1.6085373,6.232502,-3.6617045,5.7054618e-05,0.0003930633,0.99949944,5.044093e-05,M,M
M17_English_M_0008.npy,-2.9346962,1.9886795,2.149405,-1.5361992,0.0032900174,0.4522651,0.5311232,0.013321643,M,M
F04_Hindi_M_0088.npy,-3.173642,-1.6502906,5.869321,-3.4921274,0.00011813183,0.0005419387,0.9992539,8.591135e-05,M,M
F04_Hindi_M_0056.npy,-3.4794211,-1.6376759,6.1573005,-3.4604397,6.525126e-05,0.00041157476,0.9994566,6.650162e-05,M,M
M30_English_M_0003.npy,-3.6376343,-2.4095697,6.1008625,-2.293355,5.8940437e-05,0.00020125887,0.99951375,0.0002260614,M,M
M30_English_M_0039.npy,-3.6166956,-2.7096438,5.9681945,-1.5326753,6.870547e-05,0.0001701841,0.999209,0.00055216637,M,M
M30_Hindi_M_0003.npy,-3.1975088,-0.06783342,3.2991824,-0.20936973,0.0014151082,0.03235865,0.9381381,0.028088076,M,M
M30_Hindi_M_0069.npy,-3.1170151,-0.4940033,3.7049553,-1.4445553,0.0010662185,0.01468946,0.9785664,0.005677882,M,M
M30_Hindi_M_0102.npy,-4.030046,-0.6975262,5.386126,-2.2400365,8.116579e-05,0.0022733582,0.99715936,0.00048614328,M,M
M04_English_M_0025.npy,-4.223949,0.14977649,4.5955744,-1.6975933,0.0001458176,0.011568967,0.98646134,0.0018238625,M,M
M17_English_M_0107.npy,-3.339296,-0.3473133,4.936365,-2.9770012,0.00025319782,0.0050450056,0.9943381,0.0003637498,M,M
F04_English_M_0010.npy,-3.4885654,-1.748745,6.612701,-4.0303698,4.1015297e-05,0.00023363631,0.99970144,2.3858529e-05,M,M
M17_English_M_0038.npy,-2.985545,-0.17822419,3.4230964,-1.1042356,0.0015842941,0.02624459,0.9617749,0.01039628,M,M
M30_Hindi_M_0064.npy,-0.7182874,-1.5728464,3.0101523,-2.7947187,0.02316693,0.009856852,0.96407163,0.0029045967,M,M
F04_Hindi_M_0107.npy,-3.7074904,-1.6881714,6.2692785,-3.7830863,4.6446567e-05,0.00034989082,0.99956053,4.3064832e-05,M,M
M30_Hindi_M_0075.npy,-3.4094758,-0.38524935,4.390761,-1.3229318,0.00040472476,0.008328461,0.98800594,0.0032608763,M,M
M30_Hindi_M_0011.npy,-3.170558,-0.9789937,4.797682,-2.7414691,0.00034491622,0.0030867239,0.99603856,0.000529742,M,M
M30_English_M_0064.npy,-4.0841117,-1.4329265,6.556203,-4.0728893,2.3922255e-05,0.00033899787,0.99961287,2.4192223e-05,M,M
M17_English_M_0039.npy,-2.3943505,0.424301,2.2985728,-0.76496124,0.007574214,0.12690026,0.82689124,0.038634248,M,M
F04_Hindi_M_0016.npy,-2.9319265,-2.3236911,5.851288,-3.5493226,0.00015320526,0.0002814666,0.99948263,8.263085e-05,M,M
M17_English_M_0053.npy,-3.3678193,-1.4047972,5.715778,-3.0392113,0.000113390146,0.0008074303,0.99892175,0.00015750263,M,M
M17_English_M_0033.npy,-2.6127808,0.3600541,2.403742,-0.847068,0.005640834,0.11026282,0.8511215,0.03297484,M,M
M30_English_M_0028.npy,-3.6159394,-1.755097,6.2191725,-3.4389298,5.351369e-05,0.0003440475,0.99953866,6.387622e-05,M,M
M17_English_M_0094.npy,-3.5647206,0.1888509,4.39564,-2.0006106,0.00034322304,0.014646432,0.9833703,0.0016400636,M,M
M30_Hindi_M_0041.npy,-2.777225,-0.75372326,3.8697162,-1.853876,0.0012795798,0.009679726,0.9858191,0.003221608,M,M
M30_Hindi_M_0086.npy,-2.931765,0.47501186,2.7041717,-0.9202444,0.003135151,0.09458077,0.87884986,0.023434237,M,M
M17_English_M_0055.npy,-2.581057,-1.4710411,4.9173737,-3.2905488,0.0005525675,0.0016767144,0.9974989,0.00027180486,M,M
M17_English_M_0030.npy,-2.8005767,0.8090231,2.3268533,-0.5138284,0.0046215537,0.17077225,0.7791168,0.0454894,M,M
F04_Hindi_M_0109.npy,-2.3970635,0.7521223,2.5969162,-1.6386095,0.005747974,0.1340259,0.84795445,0.012271768,M,M
M30_English_M_0020.npy,-3.063047,-0.228031,2.979045,-0.6818833,0.002224098,0.037877887,0.9358389,0.024059143,M,M
M30_Hindi_M_0040.npy,-0.5041414,-0.17561658,2.0497484,-3.3668113,0.06534644,0.090760835,0.84016037,0.0037323313,M,M
F04_Hindi_M_0081.npy,-2.0868757,-1.6951529,4.2699065,-1.8130943,0.0017235941,0.0025501046,0.9934598,0.0022664007,M,M
