filename,score_N,score_L,score_M,score_H,prob_N,prob_L,prob_M,prob_H,predict class,actual class
M03_English_L_0064.npy,-3.7077165,3.452923,0.6900322,-3.162065,0.0007290075,0.9387681,0.059244778,0.0012580716,L,L
M03_English_L_0026.npy,-2.0909562,2.2056086,1.0495374,-4.5293274,0.010240693,0.75214887,0.23671645,0.0008940429,L,L
M09_English_L_0001.npy,-5.5981345,0.56205356,2.882964,1.2933496,0.00015920725,0.07538734,0.7678157,0.1566377,M,L
M03_English_L_0017.npy,-2.2112818,2.3999126,1.1727698,-5.0586348,0.0076247244,0.7670798,0.22485326,0.00044221603,L,L
M03_English_L_0008.npy,-2.0031857,0.7373465,2.3699346,-4.8856053,0.010433852,0.16167492,0.827307,0.0005842864,M,L
M09_English_L_0008.npy,-5.500404,2.0100584,1.5816545,1.251875,0.00025809903,0.4715619,0.3072453,0.22093466,L,L
M03_English_L_0003.npy,-2.686131,0.90734035,2.676474,-4.5294666,0.0039872695,0.1449774,0.8504042,0.0006311391,M,L
M03_English_L_0049.npy,-3.497979,3.110847,0.90774006,-3.3275497,0.0012110712,0.89814436,0.09920852,0.0014361046,L,L
M03_English_L_0011.npy,-0.31207356,0.78981256,1.4910913,-5.9351964,0.09918396,0.29852763,0.60193,0.00035838535,M,L
M03_English_L_0055.npy,-4.435813,2.9049616,1.4765168,-2.5200057,0.0005210329,0.8033837,0.19255613,0.0035390742,L,L
M09_English_L_0004.npy,-4.773247,2.1924067,1.692418,-1.1817961,0.0005748497,0.6091148,0.369451,0.020859387,L,L
M03_English_L_0001.npy,-2.8352666,0.22903748,2.840865,-3.1848094,0.0031751797,0.068010904,0.9265754,0.002238534,M,L
M03_English_L_0062.npy,-2.290906,2.8281395,0.031267323,-3.2050934,0.005593644,0.93512124,0.057042927,0.0022421684,L,L
M03_English_L_0016.npy,-0.928268,0.84633243,1.6851237,-5.569109,0.048655108,0.28696412,0.6639112,0.00046950145,M,L
M03_English_L_0057.npy,-3.3738604,-0.2851956,3.0950558,-2.2913854,0.001491015,0.032724418,0.9613831,0.00440144,M,L
M03_English_L_0004.npy,-1.1706995,-0.36509144,2.342561,-4.040999,0.027135396,0.060730543,0.910596,0.0015380867,M,L
M03_English_L_0033.npy,-4.317398,2.1360166,2.4904752,-3.7472174,0.00064826483,0.41156164,0.5866436,0.0011465123,M,L
M03_English_L_0013.npy,-3.1999216,-0.16688995,3.7025723,-3.7130258,0.0009831766,0.02041082,0.97801745,0.0005885635,M,L
M09_English_L_0003.npy,-4.5243187,1.6193663,1.3918544,0.031658225,0.0010718623,0.4992378,0.39764938,0.10204097,L,L
M03_English_L_0031.npy,-3.05839,0.39408922,2.6269329,-2.8346698,0.0030456032,0.09617583,0.8969693,0.003809199,M,L
M03_English_L_0024.npy,-3.2589874,0.49602956,3.2258499,-3.9709399,0.0014298826,0.06110597,0.93676263,0.00070162246,M,L
